f0_kHz,BW_kHz
50,50
80,50
100,50
130,50
150,50
180,50
200,50
230,50
250,50
280,50
300,50
330,50
500,300
600,300
800,300
900,300
1000,300
1100,300
1300,300
1400,300
1500,300
1600,300
1800,300
1900,300
2000,300
2100,300
2300,300
2400,300
2500,300
2600,300
2800,300
2900,300
3000,300
3100,300
3300,300
3400,300
3600,300
4300,300
4600,300
4800,300
5100,300
5300,300
5600,300
5800,300
6100,300
6300,300
6600,300
6800,300
7100,300
7300,300
7600,300
7800,300
8100,300
8300,300
8600,300
8800,300
9100,300
9300,300
9600,300
9700,300
10000,300
11000,300
12000,300
13000,300
14000,300
15000,300
16000,300
17000,300
18000,300
19000,300
20000,300
21000,300
22000,300
23000,300
24000,300
25000,300
26000,300
27000,300
28000,300
29000,300
30000,300
31000,300
32000,300
33000,300
34000,300
35000,300
36000,300
37000,300
38000,300
39000,300
